Age_08_04,Mfg_Month,Mfg_Year,KM,HP,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Price
23,10,2002,46986,90,2000,3,4,5,210,1165,13500
23,10,2002,72937,90,2000,3,4,5,210,1165,13750
24,9,2002,41711,90,2000,3,4,5,210,1165,13950
26,7,2002,48000,90,2000,3,4,5,210,1165,14950
30,3,2002,38500,90,2000,3,4,5,210,1170,13750
32,1,2002,61000,90,2000,3,4,5,210,1170,12950
27,6,2002,94612,90,2000,3,4,5,210,1245,16900
30,3,2002,75889,90,2000,3,4,5,210,1245,18600
27,6,2002,19700,192,1800,3,4,5,100,1185,21500
23,10,2002,71138,69,1900,3,4,5,185,1105,12950
25,8,2002,31461,192,1800,3,4,6,100,1185,20950
22,11,2002,43610,192,1800,3,4,6,100,1185,19950
25,8,2002,32189,192,1800,3,4,6,100,1185,19600
31,2,2002,23000,192,1800,3,4,6,100,1185,21500
32,1,2002,34131,192,1800,3,4,6,100,1185,22500
28,5,2002,18739,192,1800,3,4,6,100,1185,22000
30,3,2002,34000,192,1800,3,4,5,100,1185,22750
24,9,2002,21716,110,1600,3,4,5,85,1105,17950
24,9,2002,25563,110,1600,3,4,5,19,1065,16750
30,3,2002,64359,110,1600,3,4,5,85,1105,16950
30,3,2002,67660,110,1600,3,4,5,85,1105,15950
29,4,2002,43905,110,1600,3,4,5,100,1170,16950
28,5,2002,56349,110,1600,3,4,5,85,1120,15950
28,5,2002,32220,110,1600,3,4,5,85,1120,16950
29,4,2002,25813,110,1600,3,4,5,85,1120,16250
25,8,2002,28450,110,1600,3,4,5,85,1120,15950
27,6,2002,34545,110,1600,3,4,5,85,1120,17495
29,4,2002,41415,110,1600,3,4,5,85,1120,15750
28,5,2002,44142,110,1600,3,4,5,85,1120,16950
30,3,2002,11090,110,1600,3,4,5,85,1120,17950
29,4,2002,9750,97,1400,3,4,5,19,1100,12950
22,11,2002,35199,97,1400,3,4,5,85,1100,15750
27,6,2002,29510,97,1400,3,4,5,85,1100,15950
26,7,2002,32692,97,1400,3,4,5,85,1100,14950
22,11,2002,41000,97,1400,3,4,5,85,1100,15500
26,7,2002,43000,97,1400,3,4,5,85,1100,15750
25,8,2002,25000,97,1400,3,4,5,85,1100,15950
23,10,2002,10000,97,1400,3,4,5,85,1100,14950
32,1,2002,25329,97,1400,3,4,5,85,1100,15750
27,6,2002,27500,97,1400,3,4,5,85,1100,14750
22,11,2002,49059,97,1400,3,4,5,85,1100,13950
27,6,2002,44068,97,1400,3,4,5,85,1100,16750
22,11,2002,46961,97,1400,3,4,5,85,1100,13950
27,6,2002,110404,90,2000,5,4,5,234,1255,16950
22,11,2002,100250,90,2000,5,4,5,234,1255,16950
23,10,2002,84000,90,2000,5,4,5,234,1270,19000
27,6,2002,79375,90,2000,5,4,5,234,1255,17950
22,11,2002,75048,97,1400,5,4,5,85,1110,15800
22,11,2002,72215,90,2000,5,4,5,234,1255,17950
31,2,2002,64982,192,1800,5,4,6,100,1195,21950
22,11,2002,62636,90,2000,5,4,5,234,1255,17950
30,3,2002,57086,97,1400,5,4,5,85,1110,15750
26,7,2002,56000,110,1600,5,4,5,100,1180,20500
27,6,2002,49866,192,1800,5,4,5,100,1195,21950
25,8,2002,49163,110,1600,5,4,5,100,1165,15500
32,1,2002,45725,110,1600,5,4,5,85,1075,13250
28,5,2002,43210,97,1400,5,4,5,85,1110,15250
26,7,2002,43000,97,1400,5,4,5,85,1110,15250
23,10,2002,39704,110,1600,5,4,5,100,1180,18950
30,3,2002,38950,110,1600,5,4,5,85,1130,15999
22,11,2002,37400,97,1400,5,4,5,85,1110,14950
27,6,2002,37177,110,1600,5,4,5,85,1130,16500
31,2,2002,36544,110,1600,5,4,5,85,1130,18750
30,3,2002,33511,110,1600,5,4,5,85,1130,17950
27,6,2002,32809,97,1400,5,4,5,85,1110,17950
26,7,2002,32181,110,1600,5,4,5,19,1075,16950
28,5,2002,30993,110,1600,5,4,5,85,1130,18950
